"Item type","Authors","Editors","Title","Journal","Journal (full title)","Book title","Website name","Proceedings title","Source","How published","Publication year","Volume","Issue","Pages","Folders filed in","Labels filed in","Institution","Number","Publisher","Publisher place","Conference","Conference location","Conference date","Date published","Date","Date accessed","ISBN","ISBN (alt.)","ISSN","ISSN (alt.)","URLs","DOI","PMID","Arxiv ID","Associated DOI","Abstract","Keywords","Notes","Copyright","Affiliation","Language","Subtype","Series","Series number","Archive prefix","Eprint ID","Primary class","Page count","University","Department","Collection","Inventors","Assignee","Issuing authority","Patent number","Date filed","Type of patent","Issuing office full name","Application number","Presenter","Attachments","University place","Level of thesis","Series Number","Library catalog/database"
"Preprint","Ye X,Xue X,Tian W,Xu Z,Xiao W,Li R","","Chunk Content is not Enough: Chunk-Context Aware Resemblance Detection for Deduplication Delta Compression","","","","","","arXiv [cs.DC]","","2021","","","","All","Similarity/Resemblance","","","","","","","","2021-06-02","","","","","","","http://arxiv.org/abs/2106.01273","","","2106.01273","","With the growing popularity of cloud storage, removing duplicated data across users is getting more critical for service providers to reduce costs. Recently, Data resemblance detection is a novel technology to detect redundancy among similarity. It extracts feature from each chunk content and treat chunks with high similarity as candidates for removing redundancy. However, popular resemblance methods such as N-transform and Finesse use only the chunk data for feature extraction. A minor modification on the data chunk could seriously deteriorate its capability for resemblance detection. In this paper, we proposes a novel chunk-context aware resemblance detection algorithm, called CARD, to mitigate this issue.","","","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","","","","","","arXiv","2106.01273","cs.DC","","","","","","","","","","","","","","All Papers/Y/Ye et al. 2021 - Chunk Content is not Enough.pdf","","","",""
"Preprint","Sehat H,Pagnin E,Lucani DE","","Bifrost: Secure, Scalable and Efficient File Sharing System Using Dual Deduplication","","","","","","arXiv [cs.CR]","","2022","","","","All","Secure Dedup","","","","","","","","2022-01-26","","","","","","","http://arxiv.org/abs/2201.10839","","","2201.10839","","We consider the problem of sharing sensitive or valuable files across users while partially relying on a common, untrusted third-party, e.g., a Cloud Storage Provider (CSP). This paper introduces Bifrost, an innovative file sharing system inspired by recent results on dual deduplication. Bifrost achieves the desired functionality and simultaneously guarantees that the CSP can efficiently compress outsourced data while only the sender and intended receiver can access the file after sharing.","","","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","","","","","","arXiv","2201.10839","cs.CR","","","","","","","","","","","","","","All Papers/S/Sehat et al. 2022 - Bifrost.pdf","","","",""
"Conference paper","Xia W,Jiang H,Feng D,Tian L,Fu M,Zhou Y","","Ddelta: A deduplication-inspired fast delta compression approach","Perform. Evaluation","Performance Evaluation","","","","","","2014","79","","","All","Chunking","","","Elsevier","","","","","2014-09","","","","","0166-5316","","http://dx.doi.org/10.1016/j.peva.2014.07.016","10.1016/j.peva.2014.07.016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All Papers/X/Xia et al. 2014 - Ddelta.pdf","","","",""
"Conference paper","Zhang Y,Feng D,Jiang H,Xia W,Fu M,Huang F,Zhou Y","","A fast asymmetric extremum content defined chunking algorithm","","","","","2015 IEEE 21st International Conference on Parallel and Distributed Systems (ICPADS)","","","2015","","","","All","Chunking","","","IEEE","","","","","2015-12","","","","","2158-9178","","http://dx.doi.org/10.1109/ICPADS.2015.102","10.1109/ICPADS.2015.102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All Papers/Z/Zhang et al. 2015 - AE chunking.pdf","","","",""
"Conference paper","Xia W,Zou X,Jiang H,Zhou Y,Liu C,Feng D,Hua Y,Hu Y,Zhang Y","","Fastcdc: a fast and efficient content-defined chunking approach for data deduplication","","","","","2016 USENIX Annual Technical Conference","","","2016","","","541-554","All","Chunking","","","USENIX","","","","","2016-06","","","","","","","https://www.usenix.org/conference/atc16/technical-sessions/presentation/xia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","All Papers/X/Xia et al. 2016 - FastCDC.pdf","","","",""
